2449	300
2449	1207
358	300
358	1912
358	712
358	827
358	933
358	2109
358	820
358	2025
358	2025
358	1211
358	1303
564	144
564	573
564	1255
564	1285
564	1285
564	1235
564	1188
564	1087
564	1104
564	2392
637	564
637	2216
637	237
637	111
637	1577
1429	1983
1745	1652
1152	1317
1152	1166
1152	1052
1152	1207
1152	29
1152	753
1152	209
1152	818
402	598
402	2020
402	2043
402	614
402	1482
402	1946
402	531
1825	1355
1825	2214
1825	1317
1825	1317
1825	819
1825	268
1825	1110
1825	1567
1825	1519
1825	344
1825	98
1825	1871
1825	1519
1825	933
1825	933
1825	2044
1825	1408
1825	1793
1825	1939
1825	1396
1825	390
1825	1308
1825	156
1825	24
1825	382
1825	1282
1825	2025
1825	1868
1825	760
1825	1319
1825	1319
1825	2134
1825	1898
1825	614
1825	1765
1825	2340
1825	1957
1825	1917
1825	209
1825	1946
1825	280
1825	2334
1825	1633
1825	2054
1825	476
1825	2106
1825	1729
1825	467
1825	1659
1825	684
1825	79
1825	1750
1825	2187
1825	435
762	1284
1347	573
1347	508
1347	914
1347	1285
1347	1235
1347	1042
1347	1859
1347	395
1347	2025
1266	586
1266	1770
1266	1286
1266	1015
911	1097
911	3
911	1791
911	1791
911	1197
911	1293
911	2173
911	1986
911	1365
911	342
759	632
759	1621
759	630
759	1943
759	1916
759	655
759	2414
759	2025
759	303
759	1704
759	929
759	483
759	191
759	1946
759	503
759	741
759	342
759	2374
1621	1566
1621	28
1621	192
1621	1982
1621	1043
1621	968
1621	655
1621	1034
1621	303
1621	32
1000	1035
1000	192
1000	1621
1000	130
1000	1926
1000	1013
1000	1982
1000	1796
1000	1619
1000	1606
1000	527
1000	1157
1000	104
1000	1398
1000	2135
1000	1293
1000	263
1000	1997
1000	901
1000	1421
1000	355
1000	355
1000	181
1000	421
1000	684
1826	1912
1826	681
1826	813
1826	2251
1826	968
812	454
812	2086
812	1074
812	494
812	1269
812	1108
812	1678
812	2386
1875	857
1442	300
1442	1912
1442	8
1442	8
1442	849
1442	80
1442	648
1442	775
1442	2345
1442	1343
1442	1307
1442	203
1442	203
1442	794
1442	2139
1442	1410
1442	871
1442	684
1927	1369
1927	2289
287	2335
287	2195
1518	382
1518	382
1518	2228
672	380
1244	336
841	445
183	464
183	1396
183	614
712	1904
712	712
712	827
712	877
712	933
712	1417
712	1447
712	504
712	139
712	1213
712	2206
712	1207
712	614
712	198
712	763
712	380
906	630
906	227
1799	1683
47	615
47	166
47	1442
47	141
47	933
47	649
47	808
47	1656
47	1231
47	1142
47	1982
47	1822
47	1396
47	390
47	336
47	123
47	2004
47	1137
47	775
47	775
47	1451
47	893
47	104
47	2266
47	59
47	2135
47	2347
47	309
47	1674
47	1174
47	1177
47	2235
47	355
47	737
47	1872
47	1577
47	684
1738	2307
1738	1851
1738	675
348	801
348	682
1388	1339
1388	1442
1388	1106
1388	1944
1388	366
1388	614
1388	1114
1388	907
1567	630
1567	1975
1567	1319
1567	2000
1032	2288
386	508
386	98
1304	933
1693	184
709	1087
709	1078
709	209
1725	855
1725	1152
1725	1811
1725	251
1725	933
1725	3
1725	460
1725	2010
1725	321
1725	1397
1725	1200
1725	755
1725	687
1725	2289
1725	209
1725	311
1725	1575
1725	2396
1725	2395
2410	1912
2410	598
2410	834
2410	2256
2410	436
2410	538
2410	2276
2410	1873
2410	59
2410	1886
2410	1289
2410	1974
2410	1207
2410	1632
2410	805
2410	1111
2410	2115
2410	823
2410	1407
1926	289
1926	1436
1926	933
1926	1090
1926	834
1926	1557
1926	1838
1926	1231
1926	1288
1926	1043
1926	992
1926	953
1926	700
1926	1188
1926	1886
1926	1213
1926	2063
1926	404
1926	129
1926	209
1926	209
1926	1632
1926	1136
1926	1111
1926	1958
1926	2420
1926	1407
1926	920
1926	380
2361	727
2361	1656
2361	1231
2361	1982
2361	1982
2361	641
2361	2320
2361	1078
2361	1313
2361	920
339	445
339	1207
339	2162
339	167
1499	1111
754	1152
754	137
754	227
657	517
403	1984
2048	603
2048	1697
2048	2336
2048	2378
2048	2319
2048	2308
2048	2397
2048	2306
2048	2389
2048	2309
2048	700
2048	700
2048	408
2048	301
2048	2215
2048	355
1689	2228
1689	1226
1146	1120
1146	906
1146	38
1146	878
1146	543
1146	1074
1146	704
1146	2041
1146	1082
1146	112
1146	1407
873	649
873	684
1337	1070
813	2457
813	1912
813	2005
813	145
813	1231
813	784
813	970
813	382
813	655
813	655
813	1197
813	1188
813	2025
813	502
813	2127
813	2173
813	1377
813	2357
813	263
813	1740
813	1993
813	1573
813	782
813	1986
813	483
813	702
813	1520
813	260
813	209
813	1365
813	1229
813	927
813	63
813	982
575	885
1538	757
1395	710
1395	2399
1395	132
1395	132
1395	597
1395	1505
1395	723
1395	1537
1395	1487
1395	1224
1395	737
1395	186
1395	1703
13	1604
13	933
13	813
13	1929
13	2413
13	246
13	700
13	1954
13	945
13	301
1329	1873
353	1569
353	2447
353	1381
353	2292
353	813
353	849
353	869
353	803
353	1859
353	1581
353	620
353	2127
353	2127
353	531
353	531
536	623
520	1790
520	2458
520	2434
520	2434
520	1665
520	443
1570	47
1570	1270
1570	2077
464	1316
464	1316
464	712
464	1207
464	1207
464	30
464	30
464	824
464	1683
925	577
1793	630
1793	630
1793	1720
1793	2025
1793	1529
1793	1222
1793	1207
1793	224
1793	1272
1793	279
1793	79
2421	1715
2421	718
2453	1859
2453	858
2303	1582
526	1202
526	1592
526	1784
1142	1912
1982	1429
1982	192
1982	759
1982	1826
1982	130
1982	2410
1982	1188
1982	1293
1982	1704
1982	1108
