ATM,TERF1,repressor
ATM,TNFRSF10B,repressor
ATM,VEGFA,repressor
ATOH1,HES6,activator
ATOH1,MUC2,activator
ATRX,HBA1,repressor
ATRX,HBA2,repressor
BACH1,HMOX1,activator
BACH1,HMOX1,repressor
BACH1,MMP1,activator
BACH2,XBP1,repressor
BARD1,ESR1,activator
BCL11A,GATA1,activator
BCL3,CTCF,repressor
BCL3,EGFR,activator
BCL3,NFKB1,repressor
BCL6,BCL2L1,repressor
BCL6,BCL6,repressor
BCL6,CCND2,repressor
BCL6,CD80,repressor
BCL6,CDKN1A,repressor
BCL6,CDKN2B,repressor
BCL6,CHEK1,repressor
BCL6,FCER2,repressor
BCL6,HDAC7,repressor
BCL6,IRF4,repressor
BCL6,LITAF,repressor
BCL6,MYC,activator
BCL6,NFKB1,repressor
BCL6,PDCD2,repressor
BCL6,SUMO1,repressor
BCL6,XBP1,repressor
BHLHE41,CCND1,repressor
BHLHE41,MLH1,repressor
BMI1,TERT,repressor
BRCA1,AREG,repressor
BRCA1,ASPM,activator
BRCA1,ATM,activator
BRCA1,CDH3,repressor
BRCA1,CDKN1A,activator
BRCA1,CDKN1B,activator
BRCA1,CTSD,repressor
BRCA1,CXCL1,repressor
BRCA1,CYP19A1,activator
BRCA1,DDB2,activator
BRCA1,DDIT3,activator
BRCA1,E2F6,repressor
BRCA1,EGFR,repressor
BRCA1,EP300,activator
BRCA1,ESR1,activator
BRCA1,FOXC1,repressor
BRCA1,FOXC2,repressor
BRCA1,FST,activator
BRCA1,GADD45A,activator
BRCA1,GADD45A,repressor
BRCA1,HMGA2,repressor
BRCA1,HNRNPA2B1,repressor
BRCA1,HSPA5,repressor
BRCA1,IFNA1,activator
BRCA1,IGF1,repressor
BRCA1,IRF7,activator
BRCA1,IRF9,activator
BRCA1,KHSRP,repressor
BRCA1,MAD2L1,activator
BRCA1,MDM2,activator
BRCA1,RNASEL,activator
BRCA1,S100A2,activator
BRCA1,SIRT1,activator
BRCA1,STAT1,activator
BRCA1,STAT2,activator
BRCA1,TFF1,repressor
BRCA1,VEGFA,activator
BRD7,BRD2,activator
BRD7,BRD3,activator
BRD7,E2F3,repressor
BTAF1,DR1,repressor
BTAF1,TBP,repressor
BTF3,ABL2,activator
BTF3,ATM,activator
BTF3,EPHB2,activator
BTF3,HPSE2,activator
BTF3,MADCAM1,repressor
BTF3,MRVI1,repressor
BTF3,NFKB1,repressor
BTF3,RRAS2,repressor
BTF3,SSPN,repressor
BTG2,CCND1,repressor
BTG2,HRAS,repressor
BTG2,KLK3,repressor
BTG2,SPHK1,activator
CBFA2T3,ZNF652,repressor
CBX7,CCNE1,repressor
CBX7,CDH1,activator
CBX8,CDKN1A,repressor
CDCA7L,MAOB,repressor
CDX1,PCNA,activator
CDX1,PPARG,activator
CDX1,PTGS2,activator
CDX2,ACAT2,activator
CDX2,APC,activator
CDX2,AXIN2,activator
CDX2,CDH17,activator
CDX2,CDKN1A,activator
CDX2,CFTR,activator
CDX2,ELMO3,activator
CDX2,FUT2,activator
CDX2,HEPH,activator
CDX2,IGFBP3,repressor
CDX2,KLF4,activator
CDX2,LCT,activator
CDX2,MEP1A,activator
CDX2,MUC2,activator
CDX2,PTGS2,repressor
CDX2,SLC15A1,activator
CDX2,TFF3,activator
CDX2,UGT1A10,activator
CDX2,UGT1A8,activator
CEBPA,BCL2,repressor
CEBPA,CCL2,activator
CEBPA,CSF3R,activator
CEBPA,ELANE,activator
CEBPA,F9,activator
CEBPA,HAMP,activator
CEBPA,HSD17B11,activator
CEBPA,HSPA4,activator
CEBPA,IGF1,activator
CEBPA,INSR,activator
CEBPA,ITGAX,activator
CEBPA,LEP,activator
CEBPA,MYC,repressor
CEBPA,S100A9,activator
CEBPA,SERPINC1,activator
CEBPA,SFTPD,activator
CEBPA,SOCS3,activator
CEBPA,SPP1,activator
CEBPA,STAR,activator
CEBPB,ABCB1,activator
CEBPB,ADM,activator
CEBPB,CDKN1A,activator
CEBPB,CRP,activator
CEBPB,CSF3R,activator
CEBPB,CSRP1,activator
CEBPB,CXCL8,activator
CEBPB,CYP19A1,repressor
CEBPB,FURIN,activator
CEBPB,GDF15,activator
CEBPB,GFER,repressor
CEBPB,IL1B,activator
CEBPB,IL4,activator
CEBPB,IL6,activator
CEBPB,INSR,activator
CEBPB,IRF4,activator
CEBPB,OXTR,activator
CEBPB,PCK2,activator
CEBPB,PRDM1,activator
CEBPB,PRSS50,activator
CEBPB,PTGS2,activator
CEBPB,PTGS2,repressor
CEBPB,S100A9,activator
CEBPB,SAA2,activator
CEBPB,SFTPD,activator
CEBPB,SLC19A1,activator
CEBPB,SLC5A8,activator
CEBPB,STAR,activator
CEBPB,TNFAIP6,activator
CEBPB,XBP1,activator
CEBPD,CCL20,activator
CEBPD,CXCL1,activator
CEBPD,CYP19A1,repressor
CEBPD,DDIT3,activator
CEBPD,DDIT3,repressor
CEBPD,IL23A,activator
CEBPD,POU5F1,activator
CEBPD,PPARG,activator
CEBPD,SOD1,activator
CEBPD,TNFAIP6,activator
CEBPE,GATA1,repressor
CEBPE,MYC,repressor
CEBPE,PRG2,repressor
CEBPE,SPI1,repressor
CEBPG,SFTPD,activator
CEBPZ,APC,activator
CEBPZ,COL11A1,repressor
CEBPZ,MLH1,repressor
CHD4,CD79A,repressor
CHD8,CCNE2,activator
CIITA,COL1A1,repressor
CIITA,COL1A2,repressor
CIITA,HLA-A,activator
CIITA,HLA-B,activator
CIITA,HLA-C,activator
CIITA,HLA-DMA,activator
CIITA,HLA-DMB,activator
CIITA,HLA-DOA,activator
CIITA,HLA-DOB,activator
CIITA,HLA-DRA,activator
CIITA,IL4,activator
CIITA,IL4,repressor
CIITA,MMP9,repressor
CIITA,PSMC5,activator
CIITA,S100A4,repressor
CIITA,SIRT1,repressor
CITED2,MMP1,repressor
CITED2,MMP13,repressor
CLOCK,BHLHE40,activator
CLOCK,BHLHE41,activator
CLOCK,CRY1,activator
CLOCK,CRY2,activator
CLOCK,1-Dec,activator
CLOCK,NAMPT,activator
CLOCK,NR0B2,activator
CLOCK,NR3C1,repressor
CLOCK,PER1,activator
CLOCK,PER2,activator
CLOCK,PER3,activator
CLOCK,STAR,activator
COPS5,CDKN1B,repressor
COPS5,VEGFA,activator
CRABP2,RARA,activator
CREB1,ACACA,activator
CREB1,BCL2,activator
CREB1,BDNF,activator
CREB1,CASP8,activator
CREB1,CYP19A1,activator
CREB1,ETV3,activator
CREB1,GRPR,activator
CREB1,HMOX1,repressor
CREB1,IFNG,activator
CREB1,IFNG,repressor
CREB1,IL10,activator
CREB1,IL6,activator
CREB1,JUN,repressor
CREB1,LYL1,activator
CREB1,MC2R,activator
CREB1,MITF,activator
CREB1,MUC4,activator
CREB1,MUC5AC,activator
