0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
ITGAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
PDK2,71.0,153.0,62.0,13.0,54.0,273.0,64.0,135.0,17.0,129.0,144.0,215.0,224.0,116.0,207.0,212.0,232.0,305.0,235.0,310.0,164.0,26.0,0.0,100.0,181.0,5.0,10.0,21.0,2.0,45.0,23.0,40.0,0.0,5.0,3.0,0.0,1.0,0.0,1080.0,209.0,292.0,96.0
ITGA2B,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,8.0,4.0,0.0,7.0,5.0,7.0,6.0,10.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,23.0,5.0,3.0,3.0
CRLF1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,2.0
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
TAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TNFRSF12A,1039.0,2402.0,1080.0,81.0,787.0,3585.0,986.0,2161.0,324.0,1981.0,2102.0,2142.0,2048.0,727.0,1365.0,1716.0,1803.0,702.0,637.0,678.0,2859.0,578.0,0.0,799.0,2165.0,84.0,234.0,521.0,250.0,335.0,224.0,272.0,0.0,49.0,20.0,97.0,189.0,77.0,2305.0,622.0,721.0,2157.0
ETV1,17.0,36.0,4.0,4.0,4.0,48.0,15.0,43.0,7.0,36.0,40.0,39.0,54.0,36.0,100.0,58.0,96.0,71.0,61.0,49.0,30.0,4.0,0.0,6.0,22.0,0.0,5.0,9.0,5.0,5.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,244.0,49.0,68.0,56.0
CCL26,28.0,113.0,33.0,4.0,46.0,132.0,64.0,107.0,6.0,40.0,130.0,122.0,81.0,32.0,83.0,49.0,108.0,85.0,119.0,67.0,75.0,6.0,0.0,28.0,50.0,0.0,12.0,26.0,4.0,7.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,306.0,126.0,90.0,72.0
DBF4,43.8,146.43,28.0,5.0,12.0,137.66,53.0,137.0,20.0,125.0,154.0,186.9,230.0,189.91,165.41,168.0,290.9,213.0,216.0,155.0,111.0,9.0,0.0,69.0,61.86,0.0,22.0,73.0,18.0,53.0,28.0,50.0,0.0,42.0,16.0,16.0,26.0,5.0,638.05,250.0,225.0,177.84
