0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CFH,5.878295756,7.9494088210000005,7.861191413999999,10.41358117,9.004537432000001,8.095616624,9.904616035,8.491850827999999,10.6345683,9.308221729,10.22280686,10.02181739,3.6227224739999997,4.210126411,4.50082584,3.02458436,3.082907603,3.0170799410000004,6.292961394,3.197317537,3.334185778,2.997699333,7.134514267999999,2.921006648
GCLC,8.264020661,7.9309197220000005,8.633576743999999,8.077102554,7.4815705470000005,7.8175918310000005,7.574716696,8.8201097,8.208407198,8.196001962,8.285671321,7.918480958,9.74762313,8.781443273999999,9.456417873,9.259008275,9.356197163,8.48051674,9.479230799,8.527779778,10.24538557,8.772454377999999,9.060616419,9.680668043999999
NFYA,7.887351574,7.412013067999999,8.580557177000001,7.336669318999999,7.953344306,7.234544112000001,7.471766529,7.753327447,8.035623277000001,8.640896444,8.120809767,8.304657431,8.948727257,8.607891353,6.536336112000001,5.952995697,8.817772916000001,7.830388292,7.949981944,7.581383027999999,8.688110367,8.702385617000001,7.538174302000001,8.006746626
CFTR,1.86419914,1.808563355,1.6849386219999998,6.158406952000001,1.7035931009999998,1.146180748,3.331911152,1.0005984829999999,4.551446308,2.9713026489999996,3.074797189,3.72741478,4.85780859,3.155991933,0.497899994,4.104285567,2.8962714660000004,0.58570828,2.70713003,0.514536251,3.890346524,0.555116941,3.823040343,0.42500242299999996
BAD,6.6848886510000005,6.727343087,6.890395235,7.224183474,6.210042143,5.900380797,6.320942776,4.70638741,5.16745763,5.255149522,4.818744361,5.285347685,6.339520802999999,7.081900124,7.222222365,7.232381322999999,5.630373174,6.893053581,6.497833214,8.086945315,4.651474051,7.104826105,6.828131202000001,7.7540693670000005
CD99,9.197421266000001,10.75033998,11.34317809,11.69310121,12.19113897,11.77337924,12.60819155,10.89571958,11.58084342,10.60051703,11.19509656,12.96991418,7.816749481,10.65741001,11.10980156,11.16913036,9.974963605,12.29551295,12.06691569,11.248529800000002,10.56975398,10.38851597,11.51023785,11.30833586
WNT16,-0.362843354,-0.371366652,0.44100666200000005,1.459300901,0.297234855,1.1391026020000001,0.889003999,0.695366906,1.5553306530000002,2.487111471,1.005339609,1.216683775,1.0167640629999999,0.414713531,0.425310546,-0.32625816399999996,-0.29401228,-0.330456928,-0.324330099,-0.355474745,0.9157837109999999,-0.34135327299999996,-0.37623654100000004,-0.385229293
MAD1L1,7.5203429999999996,7.3028000539999995,7.573681835,7.7929673379999995,8.054664207,7.715123695,7.629549575,5.551313241,5.5497860679999995,4.81228352,5.698742957,5.530030608,5.274082235,6.33261613,6.835095006,6.454604941,5.881610835,6.892657398,7.635922066,4.229245801,5.104393556000001,5.190844686,7.830011068999999,5.785738156
CFLAR,10.83047938,10.17239633,10.78992822,12.65500444,10.56903409,10.7011274,10.66469071,10.20421937,11.01169555,10.28756227,10.67094134,10.32128595,11.360552499999999,9.868628815,10.38058234,10.94211247,10.12902255,10.72186656,10.51379988,10.38321796,10.33250723,10.57645778,10.23797932,10.454161599999999
CD38,3.0783416669999997,5.066242889,7.750260537999999,6.404011081,4.1896639669999995,4.835882357,5.319751504,6.116787062,8.257463498,4.587651783,5.623897982999999,4.223112428,2.7830454739999997,2.1190965669999997,1.0909201370000001,1.7222392340000001,2.230580955,2.050096999,4.491085716000001,1.109349406,1.8073659690000001,4.713010193,1.041025075,1.010594536
