0,1,2,3,4,5,6,7,8,9,10
SERPINB1,16.0,5.84,20.07,27.84,15.85,63.71,21.81,22.14,30.85,11.17
SPAST,1.02,1.35,1.46,1.47,1.31,1.67,1.48,3.12,0.93,1.19
NLRP2,0.44,0.04,0.38,1.63,0.27,0.0,0.35,0.0,2.49,0.84
RB1CC1,11.49,10.53,30.26,13.3,9.52,10.35,9.27,15.87,13.94,10.41
ERP44,12.56,12.66,14.69,19.86,12.8,19.69,18.26,14.7,9.49,20.62
BIRC3,13.37,4.27,21.74,12.8,10.13,16.9,21.3,8.55,14.75,16.07
ABCC2,104.97,85.12,60.61,84.98,118.29,66.84,42.1,74.88,60.09,103.75
HSF2,0.84,0.59,2.42,1.71,1.86,3.03,2.41,3.49,2.16,2.77
HSD17B6,347.12,429.65,200.21,238.57,282.31,413.97,154.52,70.72,27.62,65.62
NR1H3,65.55,71.93,55.12,97.34,100.74,38.02,56.17,103.01,51.28,40.25
VIM,74.55,21.39,259.66,187.09,122.88,91.2,435.57,251.73,314.9,110.45
FAS,6.01,4.61,7.69,12.94,5.37,5.77,10.95,4.04,1.9,6.35
CD44,9.12,2.27,44.0,22.2,12.77,9.03,25.29,14.92,19.4,11.13
IFNGR1,17.05,12.56,40.46,25.05,20.49,30.74,29.85,17.64,30.01,65.39
TNFRSF1B,8.2,8.3,10.2,13.04,10.57,2.1,19.03,9.42,15.44,8.26
POU2F2,1.91,0.76,3.04,5.81,4.05,0.9,5.36,2.19,5.42,0.48
TBPL1,8.98,6.57,13.47,15.76,7.02,18.04,10.43,20.11,9.6,8.84
ARNTL2,0.58,0.29,1.58,0.87,0.64,0.94,1.01,3.22,1.49,0.24
IBSP,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.21,0.0,0.56
BAK1,1.18,0.81,5.5,5.27,2.81,12.08,4.77,9.37,3.7,5.85
PIAS1,6.37,6.96,7.4,11.67,7.73,9.97,9.31,15.28,10.9,11.94
GABARAPL2,29.01,37.67,62.25,48.27,42.89,71.4,59.66,40.1,30.1,47.53
DAPK2,2.27,1.18,5.6,5.86,3.32,6.4,2.02,4.93,2.91,10.83
TIMP2,11.78,7.12,32.25,27.68,17.53,33.63,50.04,21.48,23.01,9.21
OTC,38.46,54.61,65.95,83.21,51.42,165.86,35.98,15.81,8.2,87.22
