0,1,2,3,4,5,6,7,8,9,10
MNAT1,130.0,133.0,169.0,114.0,113.0,180.0,158.0,188.0,76.0,353.0
SAMD4A,366.0,402.0,206.0,255.0,292.0,187.0,254.0,107.0,298.0,105.0
RUNX3,87.0,40.0,266.0,280.0,269.0,43.0,312.0,116.0,264.0,204.0
SERPINB1,509.0,208.0,709.0,903.0,501.0,2621.0,723.0,690.0,843.0,418.0
SPAST,58.0,88.0,91.0,82.0,76.0,127.0,88.0,167.0,40.0,85.0
NLRP2,3.0,1.0,12.0,31.0,8.0,0.0,6.0,0.0,55.0,13.0
RB1CC1,1023.0,914.0,2665.0,1151.0,848.0,1115.0,871.0,1344.0,1047.0,1006.0
ERP44,814.0,909.0,1054.0,1300.0,818.0,1662.0,1231.0,928.0,531.0,1585.0
BIRC3,1051.0,395.0,2123.0,1064.0,928.0,1775.0,1796.0,732.0,989.0,1652.0
ABCC2,3435.0,3291.0,2677.0,3062.0,4133.0,3902.0,1400.0,2467.0,1791.0,4372.0
HSF2,29.0,22.0,91.0,53.0,63.0,127.0,86.0,117.0,64.0,112.0
HSD17B6,5002.0,7312.0,3676.0,4122.0,4508.0,8025.0,2408.0,966.0,359.0,1225.0
NR1H3,645.0,741.0,598.0,1040.0,930.0,703.0,509.0,940.0,374.0,513.0
VIM,1778.0,585.0,6795.63,4507.0,2896.0,2806.48,10766.0,5818.0,6452.0,3070.0
FAS,164.0,144.9,211.74,374.98,176.0,223.14,282.1,104.21,55.65,189.0
CD44,285.0,89.0,1386.0,991.0,500.0,569.0,969.0,464.0,515.0,480.0
IFNGR1,436.0,356.0,1177.0,634.0,518.0,1096.0,802.0,437.0,641.0,2100.0
TNFRSF1B,395.0,438.0,543.0,630.0,500.0,130.0,902.0,442.0,635.0,473.0
POU2F2,122.0,43.0,249.0,463.0,292.0,74.0,400.0,163.0,340.0,54.0
TBPL1,109.03,121.33,167.28,203.86,101.14,288.59,118.34,169.63,74.27,135.52
ARNTL2,40.0,14.0,139.0,75.0,54.0,73.0,89.0,280.0,119.0,26.0
IBSP,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0
BAK1,33.0,25.0,169.0,148.01,76.87,438.0,138.0,253.98,88.0,193.0
PIAS1,237.28,270.46,493.57,489.05,338.41,556.41,379.97,474.41,357.85,711.31
GABARAPL2,327.0,464.0,750.0,568.0,483.0,1031.0,710.0,448.0,280.0,633.0
DAPK2,57.0,25.0,213.0,191.0,82.0,201.0,54.0,150.0,135.0,370.0
TIMP2,523.0,348.99,1587.0,1244.57,766.0,1974.0,2328.78,934.23,879.59,488.26
OTC,720.0,1130.0,1360.0,1572.0,942.0,4012.0,698.0,289.0,132.0,1922.0
CASR,4.0,2.0,29.0,32.0,16.0,2.0,43.0,12.0,75.0,0.0
FLT4,78.0,147.0,229.0,302.0,102.0,105.0,381.0,241.0,331.0,73.0
MAT2B,289.0,387.0,785.0,633.0,411.0,698.0,322.0,387.0,221.0,1338.0
VCAN,139.01,44.0,572.58,123.46,167.82,175.81,878.0,1318.43,202.92,121.0
MSR1,124.0,32.0,112.0,282.0,86.0,67.0,135.0,179.0,159.0,281.0
CDH1,906.0,1621.0,1318.0,2616.0,1714.0,1612.0,1993.0,1051.0,951.0,819.0
TNC,84.0,73.0,193.0,110.0,56.0,534.0,183.0,208.0,27.0,234.0
