0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TEAD3,9.38,3.19,7.72,7.24,4.2,1.78,4.42,0.37,0.54,0.79,1.48,1.87,0.88,3.88,6.78,2.03,1.38,1.21,4.19,1.29,0.83,3.68,6.38,4.25
SELE,0.02,0.9,0.35,8.38,0.1,1.26,0.27,0.25,7.01,1.4,3.07,0.78,5.79,0.13,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
NOX1,0.03,0.03,0.0,0.0,0.0,0.06,0.03,0.12,0.0,0.0,0.04,0.09,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.05,0.0,0.0,0.06,0.04
E2F2,0.76,0.5,1.76,1.71,0.32,0.92,0.46,0.09,0.04,0.04,0.05,0.06,0.66,0.89,0.02,2.73,0.06,0.91,1.27,2.26,0.62,0.0,1.26,0.0
SYN1,0.13,0.1,0.23,3.15,0.06,3.14,0.0,0.02,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1.14,0.0,1.09,0.25,0.0,0.0,0.0
TFAP2B,0.0,18.41,0.1,1.4,47.36,40.02,3.92,0.23,0.12,0.37,0.65,5.57,0.0,0.01,16.18,1.89,7.56,11.09,1.15,0.03,0.0,2.33,3.52,30.61
MGST1,1959.21,97.09,1414.59,195.86,200.53,47.95,817.3,1872.05,128.66,239.35,713.89,103.08,9852.59,2269.82,2213.03,1670.29,790.52,897.27,3159.81,1027.14,5393.1,1557.5,1533.27,1598.04
CRY1,12.93,8.56,4.64,7.8,3.14,7.51,3.42,0.58,2.16,1.62,4.22,5.06,3.04,3.84,8.31,3.32,5.1,5.74,2.37,2.3,6.57,3.75,4.62,5.32
NFIX,19.76,36.82,36.04,12.24,2.17,3.1,2.42,0.32,0.61,1.71,1.79,0.85,0.89,0.79,4.87,7.93,0.01,1.08,2.47,0.37,0.64,11.74,2.2,0.27
ST3GAL1,9.86,18.02,20.41,14.88,12.23,54.96,15.63,12.6,4.7,4.71,3.7,3.59,2.61,0.45,11.39,5.75,14.38,61.45,4.12,32.48,5.76,2.99,5.27,9.41
IL32,706.02,131.08,403.23,560.41,201.03,196.14,784.16,28.62,112.55,137.87,50.24,124.56,684.61,174.51,133.38,97.18,31.98,213.93,115.69,963.14,254.6,1227.68,305.06,1506.47
MLXIPL,0.02,0.15,1.23,1.15,1.25,0.02,0.26,0.03,0.0,0.0,0.09,0.23,0.0,4.45,0.6,0.0,0.52,0.0,0.0,0.24,0.06,0.97,0.0,0.01
CD4,2.91,11.31,5.18,11.56,4.16,5.09,8.35,6.28,8.76,1.86,4.34,4.26,0.21,0.14,0.74,0.1,0.0,0.06,1.15,0.0,0.01,0.0,0.0,1.58
PTBP1,19.14,24.33,19.06,16.79,7.06,13.47,12.9,1.47,2.02,1.53,1.95,1.94,7.07,20.08,26.0,12.24,13.03,10.63,22.5,13.15,1.79,9.33,16.86,15.41
PLAUR,62.54,99.91,74.71,221.7,270.26,146.17,278.23,47.56,75.42,77.08,38.95,94.41,91.02,27.58,61.4,60.61,38.88,255.23,55.77,57.68,23.09,12.64,103.99,120.98
DCN,60.63,140.75,110.75,1282.08,1319.32,480.77,1287.15,1033.83,2266.56,9538.06,4580.53,11094.68,5.62,1.2,0.0,0.0,0.19,0.0,0.0,0.0,1.37,5.29,427.34,0.0
BRCA1,9.63,4.94,8.87,5.1,9.3,7.4,5.18,2.26,0.96,1.88,3.73,2.62,1.19,3.06,1.08,4.48,1.68,4.48,3.82,3.19,1.4,0.28,3.34,3.59
ERCC1,229.93,112.2,104.7,153.41,161.14,165.77,169.89,14.63,10.79,8.97,11.46,25.11,25.21,70.53,61.36,48.94,22.78,122.25,111.8,109.18,8.76,28.79,130.66,44.8
CD22,0.39,4.64,0.05,9.31,3.38,1.24,0.32,0.26,1.0,0.28,0.38,0.27,0.0,0.1,0.0,0.0,0.24,0.0,0.0,0.08,0.68,0.02,0.0,0.0
NR1H4,0.0,0.0,0.06,0.4,0.02,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5,8.52,3.88,2.49,3.43,7.22,4.92,8.32,2.36,2.4,2.68,1.22,2.63,1.79,0.63,14.53,6.44,0.58,4.98,0.0,1.47,0.06,1.94,2.18,1.71
MVP,3.45,15.91,7.89,25.89,50.67,13.45,12.14,1.61,1.62,4.39,2.52,4.82,0.72,5.45,16.23,9.13,4.58,5.96,3.16,3.49,1.07,41.4,11.12,13.35
RNF14,11.1,37.46,11.06,10.08,11.35,11.82,8.47,16.68,8.0,20.09,13.2,22.43,20.06,16.76,6.12,9.0,6.79,33.34,2.53,21.17,44.13,8.23,7.2,6.59
ZMYND11,13.75,12.44,11.65,13.75,6.97,17.77,6.97,2.43,3.1,6.69,5.44,8.06,18.35,27.46,13.77,10.36,10.92,9.04,10.62,5.44,17.0,8.97,13.87,8.46
BID,74.15,32.28,118.25,86.92,53.2,37.11,116.26,4.6,3.05,3.4,4.6,10.08,26.1,29.75,41.75,137.27,24.08,124.99,104.92,147.74,3.8,33.59,119.98,153.74
NPC1L1,0.05,4.54,0.04,0.11,0.07,0.04,0.61,0.0,0.03,0.0,0.02,0.0,0.0,0.25,1.47,0.0,0.43,0.43,0.02,0.06,0.25,0.0,0.01,0.44
ISL1,0.0,0.0,0.06,0.98,0.06,0.0,0.14,0.02,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
ATP2C1,39.04,24.61,13.15,7.87,8.73,17.1,19.85,6.79,5.19,10.23,4.22,6.26,114.28,13.05,43.24,21.63,16.93,16.24,11.74,27.01,28.49,5.55,21.61,16.72
IGF1,4.94,16.94,3.87,120.15,9.14,11.1,12.62,2.46,14.62,0.89,82.96,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWTR1,23.95,4.92,31.87,15.93,5.27,3.16,6.51,2.51,5.58,6.52,9.33,11.88,11.35,4.4,18.45,10.88,3.6,1.36,2.24,3.83,1.84,6.55,10.74,5.54
ATP1A2,0.02,0.6,0.14,3.44,0.0,0.18,0.08,0.01,0.15,0.0,0.41,0.2,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0
CYP24A1,0.64,0.03,0.28,7.62,0.12,0.0,0.12,0.03,0.24,0.08,0.91,1.57,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.48,0.0
SNAI2,2.42,9.13,26.25,12.73,6.34,3.2,23.42,2.72,8.29,10.1,8.06,16.51,0.27,0.08,17.31,0.02,0.0,0.21,0.0,0.0,0.0,0.0,22.01,0.0
CD74,765.37,2537.62,891.02,5508.32,2254.49,3960.51,3615.53,9891.34,9454.08,2793.34,1374.07,2187.64,37.19,67.21,85.6,15.39,3.48,962.54,1.64,349.07,641.0,2419.57,188.93,481.84
HGF,0.49,2.07,0.58,8.28,2.68,3.77,2.82,0.41,3.5,2.63,1.47,2.81,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0
MNAT1,25.31,52.22,21.27,26.82,51.49,44.24,23.34,13.36,10.5,21.57,33.82,28.53,26.12,54.93,37.6,20.02,63.4,61.77,38.29,38.98,15.76,42.02,58.47,49.3
SAMD4A,1.19,1.45,4.22,14.21,1.53,1.88,2.48,0.51,1.17,0.71,1.23,1.49,0.68,2.7,5.15,2.34,2.4,0.9,0.38,3.62,0.36,2.91,1.07,3.87
RUNX3,3.19,1.11,6.13,4.9,0.77,1.72,2.07,0.44,0.66,0.38,0.36,0.36,0.46,0.47,2.7,6.9,0.7,1.1,0.59,0.0,0.04,0.0,1.53,0.02
