0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PAX6,100.99,1.0,119.06,20.0,17.0,0.0,187.59,0.0,3.0,2.0,0.0,0.0,4.0,2.11,6.0,0.0,2.0,11.0,211.0,5.0,6.0,0.0,0.0,26.0
TEAD3,343.0,132.0,321.0,85.0,170.0,72.0,177.0,18.0,20.0,34.0,57.0,69.0,34.0,121.0,309.0,110.0,69.0,65.0,223.0,92.0,62.0,219.0,458.0,327.0
SELE,1.0,49.0,18.0,76.0,5.0,59.0,6.0,17.0,334.0,81.0,166.0,30.0,275.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
NOX1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,4.0,3.0
E2F2,41.0,41.0,130.0,15.0,25.0,72.0,36.0,9.0,3.0,3.0,4.0,4.0,49.0,55.0,2.0,290.0,6.0,97.0,133.0,315.0,89.0,0.0,174.0,0.0
SYN1,1.0,5.0,2.0,6.0,3.0,122.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,75.0,8.0,0.0,0.0,0.0
TFAP2B,0.0,1071.0,9.0,35.0,1493.0,1892.0,189.0,22.0,2.0,23.0,53.0,290.0,0.0,1.0,1553.0,147.0,803.0,740.0,117.0,4.0,0.0,288.0,499.0,3683.0
MGST1,19300.0,1133.0,16288.0,644.0,2031.0,541.0,9128.0,25642.0,1324.0,2893.0,7680.0,1076.0,99569.0,19475.0,28218.0,25147.0,10567.0,13399.0,47302.0,20435.0,111556.0,25338.0,29715.0,34927.0
CRY1,467.0,395.0,200.0,78.0,110.0,271.0,145.0,33.0,74.0,67.0,162.0,176.0,134.0,133.0,398.0,201.0,191.0,329.0,139.0,180.0,406.0,268.0,367.0,322.0
NFIX,621.0,1071.0,1005.0,82.0,49.0,82.0,59.0,16.0,14.0,64.0,48.0,25.0,32.0,29.0,167.0,291.0,1.0,32.0,76.0,55.0,43.0,810.0,177.0,43.0
ST3GAL1,615.0,1120.0,1266.0,288.0,679.0,3909.0,929.0,925.0,278.0,414.0,296.0,225.0,220.0,36.0,1334.0,561.0,1582.0,5058.0,122.0,1739.0,716.0,414.0,950.0,653.0
IL32,6200.0,1303.0,3880.0,1594.0,2027.0,1948.0,7498.0,346.0,1073.0,1510.0,496.0,1157.0,6111.0,1243.0,1365.0,1391.0,437.0,2763.0,1456.0,17096.0,4457.0,18464.0,5349.0,29000.0
MLXIPL,1.0,7.0,59.0,10.0,45.0,1.0,7.0,1.0,0.0,0.0,4.0,9.0,0.0,158.0,31.0,0.0,27.0,0.0,0.0,19.0,5.0,59.0,0.0,1.0
CD4,103.0,526.0,225.0,139.0,177.0,228.0,367.0,326.0,359.0,88.0,180.0,163.0,9.0,5.0,38.0,6.0,0.0,2.0,69.0,0.0,1.0,0.0,0.0,137.0
PTBP1,560.0,811.0,680.0,150.0,258.0,414.0,423.0,43.0,46.0,33.0,61.0,50.0,177.0,502.0,942.0,526.0,524.0,472.0,969.0,715.0,104.0,440.0,912.0,941.0
PLAUR,966.0,1850.0,1362.0,1157.0,4865.0,2588.0,5014.0,1033.0,1225.0,1521.0,652.0,1542.0,1506.0,387.0,1245.0,1489.0,890.0,6198.0,1336.0,1810.0,773.0,356.0,3327.0,4355.0
DCN,1246.0,3325.0,2681.0,5861.0,17350.0,7627.0,20105.0,27720.0,48341.0,229034.0,97590.0,232831.0,123.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,111.0,13740.0,0.0
BRCA1,270.0,169.0,322.0,41.0,249.18,293.0,162.0,63.0,34.0,42.0,72.0,57.0,65.0,135.0,45.0,319.0,66.0,240.0,184.0,127.0,115.0,24.0,269.0,143.0
ERCC1,2915.33,1504.02,1555.26,597.17,1852.91,1957.9,1931.83,226.79,118.28,156.17,204.69,414.56,370.68,744.07,984.98,828.54,302.61,1680.41,1785.14,2663.67,290.34,718.26,3123.56,1198.02
CD22,9.0,126.0,2.0,25.0,86.0,30.0,13.0,7.0,17.0,5.0,12.0,10.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0
NR1H4,0.0,0.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5,246.0,147.0,90.0,37.0,263.0,175.0,303.0,104.0,81.0,94.0,43.0,89.0,60.0,17.0,602.0,319.0,25.0,245.0,0.0,96.0,4.0,102.0,133.0,119.0
MVP,127.0,639.0,317.0,306.0,1901.0,490.0,450.0,68.0,52.0,146.0,77.0,161.0,28.0,175.0,744.0,513.0,232.0,308.0,174.0,255.0,67.0,2486.0,805.0,1027.0
RNF14,327.0,1138.0,354.0,108.0,269.0,328.0,227.0,582.0,216.0,681.0,451.0,630.0,643.0,614.0,261.0,281.0,337.0,1008.0,98.0,1015.0,2735.0,374.0,545.0,472.0
ZMYND11,713.0,738.0,684.0,218.0,344.0,992.0,378.0,171.0,167.0,402.0,306.0,434.0,1012.0,1262.0,921.0,825.0,794.0,695.0,804.0,545.0,1820.0,784.0,1324.0,900.0
BID,964.0,481.0,1539.0,279.0,608.0,453.0,1372.0,84.0,44.0,65.0,75.0,191.0,467.0,576.0,604.0,2023.0,414.0,1816.0,1547.0,3059.0,208.0,766.0,2450.0,3113.0
NPC1L1,3.0,354.0,3.0,2.0,5.0,3.0,45.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,122.0,0.0,39.0,44.0,2.0,8.0,35.0,0.0,1.0,63.0
ISL1,0.0,0.0,2.0,10.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ATP2C1,1532.56,1069.36,542.32,103.29,229.75,562.44,597.4,281.31,174.0,435.59,238.0,312.58,4219.88,514.53,2218.43,964.72,605.53,734.11,729.01,1488.22,2087.43,555.12,1499.68,1435.39
IGF1,50.25,229.99,63.93,560.43,84.2,155.45,149.62,64.01,283.58,28.88,1192.55,549.54,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.66,0.0
WWTR1,1439.2,369.02,2166.0,308.0,317.01,233.01,475.01,146.73,366.26,390.19,570.22,738.48,764.59,246.05,1601.0,1114.02,327.02,125.0,223.05,319.93,205.3,414.32,1285.77,550.03
ATP1A2,1.0,41.0,2.0,67.0,0.0,12.0,5.0,1.0,10.0,0.0,28.0,12.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
CYP24A1,5.0,1.0,9.0,29.0,1.0,0.0,1.0,2.0,4.0,4.0,20.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0
SNAI2,69.0,296.0,851.0,118.0,198.0,100.0,727.0,106.0,240.0,345.0,244.0,478.0,8.0,2.0,627.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1215.0,0.0
CD74,13257.73,50012.31,17472.81,31085.47,42619.61,74582.34,68731.61,225716.99,160548.99,56618.99,24798.9,38468.9,642.34,930.5,1810.57,365.66,78.0,24830.45,40.0,11204.28,21064.1,62066.02,5574.81,16721.44
HGF,12.0,71.0,15.0,74.0,53.0,97.0,56.0,17.0,113.0,67.0,45.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0
MNAT1,263.0,648.0,286.0,111.0,658.0,609.0,316.0,201.0,109.0,287.0,400.0,331.0,263.0,500.0,551.0,408.0,1006.0,1052.0,581.0,946.0,310.0,898.0,1395.0,1148.0
SAMD4A,56.0,76.0,268.0,238.0,81.0,83.0,149.0,36.0,75.0,58.0,99.0,98.0,58.0,165.0,453.0,172.0,241.0,78.0,21.0,330.0,65.0,205.0,140.0,368.0
RUNX3,166.0,60.0,372.0,86.0,44.0,102.0,122.0,31.0,35.0,24.0,20.0,19.0,25.0,21.0,178.0,541.0,50.0,86.0,45.0,0.0,4.0,0.0,155.0,2.0
